"country_code","start_year","spend","commitment"
"Afghanistan",2001,47876811,252955430
"Afghanistan",2002,328914545.1,1179594613
"Afghanistan",2003,922121882.1,5438398393
"Afghanistan",2004,318932371.54,1163748679.2
"Afghanistan",2005,198699500.1,2162479078.4
"Afghanistan",2006,562162599.72,1858654112.05
"Afghanistan",2007,1004022421.1,2021578070.11
"Afghanistan",2008,528124954.9,1059027726.59
"Afghanistan",2009,1029093781.1,1663238066.2
"Afghanistan",2010,1548642318.8,2014202355.269
"Afghanistan",2011,2446314747.22,3547909543.1
"Afghanistan",2012,991769129.8,1907289138.2
"Afghanistan",2013,664172431.14,2631802436.03
"Afghanistan",2014,1090807680.18,1186325894.28
"Afghanistan",2015,2478322475.69,2733117164.1
"Afghanistan",2016,1161790966.32,836489354.91
"Afghanistan",2017,226292362.6,810806967.96
"Afghanistan",2018,274132007.91,484789891
"Afghanistan",2019,0,4240000
"Ethiopia",1970,22939,0
"Ethiopia",1980,19977100,19977100
"Ethiopia",1983,15287100,15287100
"Ethiopia",1985,18718600,18718600
"Ethiopia",1986,6373980,6413370
"Ethiopia",1987,6511840,6511840
"Ethiopia",1993,11768100,12501500
"Ethiopia",1995,233911700,197422600
"Ethiopia",1996,231068060,235669830
"Ethiopia",1997,282615000,268130000
"Ethiopia",1998,369663000,361981900
"Ethiopia",2000,797824620,738492090
"Ethiopia",2001,398342028,437197880
"Ethiopia",2002,431172660,519231130
"Ethiopia",2003,749786850,727039340
"Ethiopia",2004,1280606450,1096176700
"Ethiopia",2005,75615649,149475092
"Ethiopia",2006,1370153550,3338096396.2
"Ethiopia",2007,1740997478.6,2332825650
"Ethiopia",2008,2067529888.2,2344302203.6
"Ethiopia",2009,2754889038.6,2574545137
"Ethiopia",2010,722840280.57,1101810925
"Ethiopia",2011,1224697068.7,2177272649
"Ethiopia",2012,3596222359.32,5287111174.88
"Ethiopia",2013,1285236375.7,2555272876.63
"Ethiopia",2014,1883539168.08,3969967932.78
"Ethiopia",2015,2328133069.29,10692457225.79
"Ethiopia",2016,1140604042.28,2791545148.73
"Ethiopia",2017,397248540.469,1326740493.956
"Ethiopia",2018,138363571.7,608353206.46
"Ethiopia",2019,0,35793210
"Ethiopia",2020,0,0
"Ethiopia",,281230,91493382
"Ghana",1980,14005300,14005300
"Ghana",1986,14487300,14344100
"Ghana",1989,18655200,19092000
"Ghana",1990,13180200,13493100
"Ghana",1993,6914390,7427790
"Ghana",1995,173305500,183318110
"Ghana",1996,347048290,384296640
"Ghana",1997,93505310,96713150
"Ghana",1998,134402400,133730000
"Ghana",1999,344700420,342509260
"Ghana",2000,308242354,472343886
"Ghana",2001,467974086,526902646
"Ghana",2002,115866752,118277556
"Ghana",2003,432818430,416872741.6
"Ghana",2004,666241935,673568650
"Ghana",2005,581259537,676090435
"Ghana",2006,418390453,561671358
"Ghana",2007,1008145888,1257942821
"Ghana",2008,974992911.9,1049720093
"Ghana",2009,957896526.1,1389613280
"Ghana",2010,696315856.4,1337087930.4
"Ghana",2011,724838747.39,1192538566
"Ghana",2012,835929393.91,1288770208.11
"Ghana",2013,172886784.7,773714015.18
"Ghana",2014,416672995.86,1362738993.37
"Ghana",2015,216360324.3,464999394.9
"Ghana",2016,133359909.79,829468715.18
"Ghana",2017,56044510.019,322713924.709
"Ghana",2018,68200167.35,314848464.75
"Ghana",2019,0,2950000
"Ghana",,885470,0
"Kenya",1979,2931610,2931610
"Kenya",1983,6790840,6790840
"Kenya",1986,8703940,8703940
"Kenya",1989,4029740,4052670
"Kenya",1990,9938980,10222690
"Kenya",1991,0,0
"Kenya",1992,0,0
"Kenya",1993,9051840,9172490
"Kenya",1994,1675270,1746110
"Kenya",1995,77747200,95698600
"Kenya",1996,274104848,364570248
"Kenya",1997,220414200,269964800
"Kenya",1998,47032200,76556900
"Kenya",1999,0,34830000
"Kenya",2000,430570000,557284680
"Kenya",2001,83674720,82206440
"Kenya",2002,38269471,52760485
"Kenya",2003,1028523105,975639482
"Kenya",2004,716768989,716282485
"Kenya",2005,237534635,314766853
"Kenya",2006,200631844,399314789
"Kenya",2007,772916533,1086680141
"Kenya",2008,566393103,666843332
"Kenya",2009,1543492856.6,2189468182
"Kenya",2010,428152043.8,1776263354
"Kenya",2011,1301718277.55,2366141815.8
"Kenya",2012,778668665.28,2817011764.47
"Kenya",2013,519990334.13,1269312378.04
"Kenya",2014,743953870.264,1962982452.76
"Kenya",2015,634924591.6,1166884990.69
"Kenya",2016,334391110.93,2156880989.63
"Kenya",2017,202551134.28,1063374444.8546
"Kenya",2018,55144228.04,374140131.9
"Kenya",2019,0,11928900
"Kenya",,0,153720541
"Liberia",1981,9488820,9488820
"Liberia",1984,5441260,5441260
"Liberia",1999,0,3500000
"Liberia",2000,2276670,2545470
"Liberia",2001,318900,318900
"Liberia",2002,460367,460367
"Liberia",2003,681000,1157160
"Liberia",2004,270225,276296
"Liberia",2005,2359021,52271
"Liberia",2006,67984099,56365240
"Liberia",2007,601738430,624104230
"Liberia",2008,184171899.74,149207337
"Liberia",2009,170630573.1,160484338
"Liberia",2010,167734954,202463832
"Liberia",2011,259259068.88,323712181.96
"Liberia",2012,199983573.85,225569908.55
"Liberia",2013,425650462.34,551904737.8
"Liberia",2014,137164326.41,213830889.71
"Liberia",2015,280990670.8,368287903.6
"Liberia",2016,79555854.83,134200024.94
