"country_code","start_year","location_precision","spend","commitment"
"Afghanistan",2001,"1",519500,519500
"Afghanistan",2002,"1",519500,519500
"Afghanistan",2003,"1",1039000,1039000
"Afghanistan",2004,"1",3307180,3307180
"Afghanistan",2005,"1",510500,510500
"Afghanistan",2006,"1",9244750,9244750
"Afghanistan",2007,"1",42222510,42222510
"Afghanistan",2008,"1",6426280,6326280
"Afghanistan",2009,"1",165984490,165721390
"Afghanistan",2010,"1",12717700,12717700
"Afghanistan",2011,"1",1633066296,1632842476
"Afghanistan",2012,"1",596187586,606871293
"Afghanistan",2013,"1",227215630,219872160
"Afghanistan",2014,"1",3955689,4164486.5
"Afghanistan",2015,"1",2187240827,2333703269
"Afghanistan",2016,"1",298126046,133271810
"Afghanistan",2017,"1",129551185,78683513
"Afghanistan",2018,"1",183365667,320373744
"Afghanistan",2019,"1",0,4240000
"Ethiopia",1980,"1",19977100,19977100
"Ethiopia",1983,"1",15287100,15287100
"Ethiopia",1985,"1",18718600,18718600
"Ethiopia",1986,"1",6373980,6413370
"Ethiopia",1987,"1",6511840,6511840
"Ethiopia",1993,"1",11768100,12501500
"Ethiopia",1996,"1",22157160,23245730
"Ethiopia",1998,"1",18753800,17307600
"Ethiopia",2001,"1",95281366.6666667,81074383.3333333
"Ethiopia",2002,"1",34367350,27749250
"Ethiopia",2003,"1",70379960,81121360
"Ethiopia",2004,"1",28438598,28713402
"Ethiopia",2005,"1",73051780,133661680
"Ethiopia",2006,"1",7365140,7607470.5
"Ethiopia",2007,"1",325965755,322445446
"Ethiopia",2008,"1",58305570,67000638
"Ethiopia",2009,"1",92516420,94480520
"Ethiopia",2010,"1",44334209,44525979
"Ethiopia",2011,"1",293879340,300271830
"Ethiopia",2012,"1",585045697.5,509090625
"Ethiopia",2013,"1",213982580,230214410
"Ethiopia",2014,"1",347501943,329819653
"Ethiopia",2015,"1",206335322.58,212262434.8
"Ethiopia",2016,"1",696902919,1099910297.5
"Ethiopia",2017,"1",201231341.6,214304366.8
"Ethiopia",2018,"1",32827853,82576385.6
"Ethiopia",2019,"1",0,35793210
"Ethiopia",2020,"1",0,0
"Ghana",1980,"1",14005300,14005300
"Ghana",1986,"1",14487300,14344100
"Ghana",1989,"1",18655200,19092000
"Ghana",1990,"1",13180200,13493100
"Ghana",1993,"1",6914390,7427790
"Ghana",1995,"1",9019000,9808610
"Ghana",1996,"1",8011690,8311840
"Ghana",1997,"1",8753210,8860950
"Ghana",1999,"1",10543100,10302300
"Ghana",2000,"1",12265494,11020248
"Ghana",2001,"1",22736543.1428571,19206038.8571429
"Ghana",2002,"1",77289099.1428571,72146636.2857143
"Ghana",2003,"1",61037300,57450800
"Ghana",2004,"1",7543620,7543620
"Ghana",2005,"1",102238562,98884443
"Ghana",2006,"1",46468026.3333333,52069155.3333333
"Ghana",2007,"1",587725474.666667,593300154.666667
"Ghana",2008,"1",176492459,169843550
"Ghana",2009,"1",46336253.3333333,47310153.3333333
"Ghana",2010,"1",11530694.4,31441296.4
"Ghana",2011,"1",133968468,184699498
"Ghana",2012,"1",432325873.6,525876918.833333
"Ghana",2013,"1",26003252,47701939
"Ghana",2014,"1",69349988.05,624722455
"Ghana",2015,"1",104615950,229445950
"Ghana",2016,"1",68542529,106368626
"Ghana",2017,"1",12199879.6,112991004
